"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"&laquo; Back to Billing Information","&laquo; Повернутись до інформації про оплату"
"&laquo; Back to Select Addresses","&laquo; Повернутись до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Повернутись до кошику"
"* Required Fields","* Обов'язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Add New Condition"
"Add to Cart","Додати в кошик"
"Add to Compare","Порівняти"
"Add to Wishlist","Додати до списку бажань"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After adding a product redirect to shopping cart","Після додавання товару перейти до кошика"
"Allow Guest Checkout","Дозволити оформляти замовлення без реєстрації"
"Already registered?","Вже зареєстровані?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Використати сертифікат"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що бажаєте видалити даний товар з кошика ?"
"Back","Повернутись"
"Back to Shipping Information","Повернутись до інформації про доставку"
"Based on your selection, you may be interested in the following items:","Вас можуть зацікавити такі товари:"
"Billing Address","Адреса оплати"
"Billing Information","Інформація по оплаті"
"Billing Information - %s","Інформація по оплаті - %s"
"Can not add item to shopping cart","Неможливо додати товар в кошик"
"Can not apply coupon code.","Неможливо застосувати код сертифікату."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Відмінити сертифікат знижки"
"Cannot remove item","Неможливо видалити товар"
"Cannot update shopping cart","Неможливо оновит кошик"
"Card Verification Number Visual Reference","Інформація про вид перевірочного коду на картці"
"Cart Subtotal:","Загальна вартість товару в кошику:"
"Change","Change"
"Change Billing Address","Змінити адресу оплати"
"Checkbox text","Checkbox text"
"Checkout","Оформлення замовлення"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Налаштування замовлення"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout method","Метод оформлення замовлення"
"Checkout with Multiple Addresses","Оформити замовлення з кількома адресами"
"City","Місто"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Закрити"
"Company","Компанія"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Зображення конфігурованого товару"
"Confirm Password","Підтвердження паролю"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Продовжити"
"Continue Shopping","Перейти до магазину"
"Continue to Billing Information","Перейти до інформації про оплату "
"Continue to Review Your Order","Перейти до перегляду Вашого замовлення"
"Continue to Shipping Information","Перейти до інформації про купівлю"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код сертифікату ""%s"" недійсний."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Create Billing Address","Нова адреса оплати"
"Create Shipping Address","Нова адреса доставки"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Проблема збереження даних"
"Default Billing","Оплата за замовчуванням"
"Default Shipping","Доставка за замовчуванням"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Коди знижок"
"Display Cart Summary","Показати"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Кількість товару"
"Display number of items in cart","Кількість найменувань товару"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу оплати"
"Edit Items","Редагувати товари"
"Edit Shipping Address","Редагувати адресу поставки"
"Edit Terms and Conditions","Edit Terms and Conditions"
